study,dimension,Full name,Submission,Submission id,Comparisons received,Time spent,Average time spent,First comparison,Last comparison,Wins,Losses,Score
study1,rigour,1,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=11"">View</a>",17,75,55 mins 20 secs,44.2667 secs,"Friday, 22 January 2021, 10:52 AM","Thursday, 28 January 2021, 8:33 AM",3,72,34
study1,rigour,10,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=20"">View</a>",26,76,3 hours 46 mins,2 mins 59.1579 secs,"Friday, 22 January 2021, 10:51 AM","Thursday, 28 January 2021, 8:33 AM",69,7,91
study1,rigour,11,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=21"">View</a>",27,75,2 hours,1 min 36.44 secs,"Friday, 22 January 2021, 10:54 AM","Thursday, 28 January 2021, 8:33 AM",50,25,74
study1,rigour,12,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=34"">View</a>",41,75,2 hours 14 mins,1 min 47.4133 secs,"Friday, 22 January 2021, 10:51 AM","Thursday, 28 January 2021, 8:33 AM",32,43,61
study1,rigour,13,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=35"">View</a>",42,75,1 hour 37 mins,1 min 17.84 secs,"Friday, 22 January 2021, 10:54 AM","Thursday, 28 January 2021, 8:32 AM",29,46,59
study1,rigour,2,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=12"">View</a>",18,75,1 hour 6 mins,53.1067 secs,"Friday, 22 January 2021, 10:51 AM","Thursday, 28 January 2021, 8:33 AM",28,47,61
study1,rigour,3,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=13"">View</a>",19,75,1 hour 4 mins,51.28 secs,"Friday, 22 January 2021, 10:47 AM","Thursday, 28 January 2021, 8:33 AM",5,70,40
study1,rigour,4,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=14"">View</a>",20,75,1 hour 23 mins,1 min 6.5467 secs,"Friday, 22 January 2021, 10:51 AM","Thursday, 28 January 2021, 8:33 AM",41,34,66
study1,rigour,5,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=15"">View</a>",21,75,1 hour 4 mins,51.8667 secs,"Friday, 22 January 2021, 10:47 AM","Thursday, 28 January 2021, 8:33 AM",32,43,63
study1,rigour,6,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=16"">View</a>",22,75,1 hour 9 mins,55.3333 secs,"Friday, 22 January 2021, 10:51 AM","Thursday, 28 January 2021, 8:32 AM",49,26,73
study1,rigour,7,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=17"">View</a>",23,75,1 hour,48.7467 secs,"Friday, 22 January 2021, 10:52 AM","Thursday, 28 January 2021, 8:33 AM",50,25,73
study1,rigour,8,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=18"">View</a>",24,75,40 mins 52 secs,32.6933 secs,"Friday, 22 January 2021, 10:54 AM","Thursday, 28 January 2021, 8:33 AM",52,23,77
study1,rigour,9,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3556&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=19"">View</a>",25,75,3 hours 2 mins,2 mins 25.8533 secs,"Friday, 22 January 2021, 10:51 AM","Thursday, 28 January 2021, 8:32 AM",48,27,73
study1,insight,1,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=22"">View</a>",29,74,50 mins 5 secs,40.6081 secs,"Friday, 22 January 2021, 5:28 PM","Sunday, 31 January 2021, 10:34 PM",16,58,42
study1,insight,10,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=31"">View</a>",38,74,1 hour 2 mins,50.5946 secs,"Friday, 22 January 2021, 5:30 PM","Sunday, 31 January 2021, 10:34 PM",63,11,96
study1,insight,11,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=32"">View</a>",39,73,1 hour 12 mins,59.7534 secs,"Friday, 22 January 2021, 5:29 PM","Sunday, 31 January 2021, 10:33 PM",27,46,57
study1,insight,12,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=33"">View</a>",40,74,1 hour 18 mins,1 min 3.6892 secs,"Friday, 22 January 2021, 5:29 PM","Sunday, 31 January 2021, 10:34 PM",35,39,59
study1,insight,13,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=36"">View</a>",43,73,1 hour 18 mins,1 min 4.6849 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:33 PM",22,51,48
study1,insight,2,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=23"">View</a>",30,74,43 mins 16 secs,35.0811 secs,"Friday, 22 January 2021, 5:28 PM","Sunday, 31 January 2021, 10:34 PM",50,24,79
study1,insight,3,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=24"">View</a>",31,74,42 mins 12 secs,34.2162 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:34 PM",18,56,45
study1,insight,4,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=25"">View</a>",32,74,1 hour,49.1216 secs,"Friday, 22 January 2021, 5:31 PM","Sunday, 31 January 2021, 10:34 PM",39,35,67
study1,insight,5,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=26"">View</a>",33,74,46 mins 34 secs,37.7568 secs,"Friday, 22 January 2021, 5:28 PM","Sunday, 31 January 2021, 10:34 PM",37,37,64
study1,insight,6,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=27"">View</a>",34,74,53 mins 23 secs,43.2838 secs,"Friday, 22 January 2021, 5:30 PM","Sunday, 31 January 2021, 10:34 PM",44,30,71
study1,insight,7,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=28"">View</a>",35,73,43 mins 13 secs,35.5205 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:33 PM",43,30,71
study1,insight,8,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=29"">View</a>",36,74,39 mins 43 secs,32.2027 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:33 PM",44,30,72
