study,dimension,iteration,nc1,nc2,cor
study1,rigour,1,253,185,0.9079534673163784
study1,rigour,2,244,194,0.8853052211591896
study1,rigour,3,201,237,0.8124013780312289
study1,rigour,4,230,208,0.8458541945720537
study1,rigour,5,233,205,0.9275664641870145
study1,rigour,6,201,237,0.8923307785676228
study1,rigour,7,246,192,0.8958634369332226
study1,rigour,8,225,213,0.9594270426654042
study1,rigour,9,230,208,0.9129163895816076
study1,rigour,10,229,209,0.9319942813234167
study1,insight,1,208,246,0.6309571690040485
study1,insight,2,183,271,0.7169345098127399
study1,insight,3,228,226,0.7318572939664921
study1,insight,4,219,235,0.7287954586207331
study1,insight,5,216,238,0.7806184476284893
study1,insight,6,188,266,0.6753651974764797
study1,insight,7,216,238,0.7345205260414897
study1,insight,8,183,271,0.8390715940376096
study1,insight,9,236,218,0.7284488888174191
study1,insight,10,202,252,0.6451186508888417
study2,rigour,1,328,308,0.8733638675768972
study2,rigour,2,350,286,0.9202373577245062
study2,rigour,3,285,351,0.9363105797837704
study2,rigour,4,335,301,0.9446443053580714
study2,rigour,5,290,346,0.8718034039682174
study2,rigour,6,283,353,0.814072087564719
study2,rigour,7,315,321,0.9207715579793306
study2,rigour,8,302,334,0.854349563042615
study2,rigour,9,308,328,0.8314869481189633
study2,rigour,10,286,350,0.8006778908503995
study2,insight,1,191,247,0.3689133430935208
study2,insight,2,213,225,0.3536274028340885
study2,insight,3,209,229,0.17791861552217597
study2,insight,4,210,228,0.6872309022552066
study2,insight,5,230,208,0.5273690644511775
study2,insight,6,226,212,0.3009233232723129
study2,insight,7,201,237,0.5329567390860613
study2,insight,8,212,226,0.5602357695254795
study2,insight,9,227,211,0.6857961378326264
study2,insight,10,213,225,0.485530159719356
study2,simple,1,264,262,0.8488486124736366
study2,simple,2,297,229,0.7302317575076754
study2,simple,3,226,300,0.8861611528289698
study2,simple,4,281,245,0.7791885354546912
study2,simple,5,270,256,0.9316558717730978
study2,simple,6,240,286,0.8364039863600653
study2,simple,7,243,283,0.8236576289113935
study2,simple,8,264,262,0.8677298246824475
study2,simple,9,255,271,0.9061915026927356
study2,simple,10,262,264,0.8788314610857636
study2,understanding,1,319,292,0.7396265188973158
study2,understanding,2,299,312,0.7968448899375473
study2,understanding,3,317,294,0.7859611106314912
study2,understanding,4,306,305,0.7075118872598914
study2,understanding,5,257,354,0.5399149752626313
study2,understanding,6,334,277,0.60845548552257
study2,understanding,7,330,281,0.7245626226563944
study2,understanding,8,280,331,0.7006723805924581
study2,understanding,9,276,335,0.4181443797075855
study2,understanding,10,320,291,0.6053667419607643
study2,marks,1,155,227,0.9261058401873697
study2,marks,2,178,204,0.7808264110142146
study2,marks,3,177,205,0.8344644794557341
study2,marks,4,179,203,0.8801852025768617
study2,marks,5,214,168,0.8426689884132809
study2,marks,6,187,195,0.8685305451797747
study2,marks,7,163,219,0.8335957064728584
study2,marks,8,188,194,0.8018120494136413
study2,marks,9,216,166,0.8790009236700209
study2,marks,10,186,196,0.922790008105615
study1,rigour,11,236,202,0.9155545922885447
study1,rigour,12,242,196,0.8086477204824866
study1,rigour,13,199,239,0.9190456188424603
study1,rigour,14,230,208,0.8405391865766082
study1,rigour,15,204,234,0.9465397966268957
study1,rigour,16,216,222,0.8140315180591673
study1,rigour,17,195,243,0.9439876121651919
study1,rigour,18,222,216,0.8834831816091706
study1,rigour,19,217,221,0.9723628384309279
study1,rigour,20,243,195,0.8402899399535905
study1,rigour,21,197,241,0.9487904897009773
study1,rigour,22,210,228,0.8211191439239993
study1,rigour,23,192,246,0.898459915909259
study1,rigour,24,216,222,0.9774400696154806
study1,rigour,25,198,240,0.900551417180126
study1,rigour,26,232,206,0.9139334350694935
study1,rigour,27,228,210,0.9188398804000457
study1,rigour,28,184,254,0.8986757534848072
study1,rigour,29,205,233,0.9091201770494596
study1,rigour,30,230,208,0.871315415291557
study1,rigour,31,234,204,0.8744092055084954
study1,rigour,32,202,236,0.9334356185853916
study1,rigour,33,249,189,0.9143386006740163
study1,rigour,34,213,225,0.8826022880009238
study1,rigour,35,190,248,0.956470933336528
study1,rigour,36,208,230,0.8587294417483196
study1,rigour,37,244,194,0.813912402026085
study1,rigour,38,229,209,0.8247517339759016
study1,rigour,39,231,207,0.84991765868690206
study1,rigour,40,215,223,0.8482941910757589
study1,rigour,41,219,219,0.9406875448023447
study1,rigour,42,199,239,0.9672960375100026
study1,rigour,43,240,198,0.9193228178492647
study1,rigour,44,210,228,0.9075000671538089
study1,rigour,45,198,240,0.9159878032235482
study1,rigour,46,207,231,0.8196142424035497
study1,rigour,47,220,218,0.8523576355235569
study1,rigour,48,191,247,0.8650498726348751
study1,rigour,49,210,228,0.9347878757086499
study1,rigour,50,242,196,0.8610931962532155
study1,insight,11,263,191,0.804170730134933
study1,insight,12,216,238,0.7412563831310195
study1,insight,13,226,228,0.7776044437734272
study1,insight,14,224,230,0.6321149388307477
study1,insight,15,214,240,0.612242959650719
study1,insight,16,228,226,0.5986564872534794
study1,insight,17,247,207,0.6502523353331506
study1,insight,18,253,201,0.8249305285886939
study1,insight,19,203,251,0.6310197753736024
study1,insight,20,215,239,0.72363718956899
study1,insight,21,237,217,0.680713584747395
study1,insight,22,214,240,0.7617950263484701
study1,insight,23,232,222,0.8356939093302874
study1,insight,24,201,253,0.7460659298048867
study1,insight,25,199,255,0.7281987303556983
study1,insight,26,232,222,0.5867299010102597
study1,insight,27,212,242,0.5707834485369981
study1,insight,28,239,215,0.6398860874447206
study1,insight,29,241,213,0.7141614310184833
study1,insight,30,187,267,0.8337271067379359
study1,insight,31,244,210,0.7163939029767482
study1,insight,32,195,259,0.6321886695682087
study1,insight,33,212,242,0.6724521421480615
study1,insight,34,195,259,0.7493023868252285
study1,insight,35,232,222,0.778135974660108
study1,insight,36,230,224,0.6389725734399773
study1,insight,37,231,223,0.6878152644690859
study1,insight,38,191,263,0.7735280212803897
study1,insight,39,224,230,0.7186111271537405
study1,insight,40,223,231,0.4640507627074712
study1,insight,41,249,205,0.6989676446842527
study1,insight,42,223,231,0.6270588212923606
study1,insight,43,191,263,0.8458477795891133
study1,insight,44,250,204,0.6534776909361348
study1,insight,45,187,267,0.8569125363015109
study1,insight,46,214,240,0.6111116459182788
study1,insight,47,245,209,0.6081984399568007
study1,insight,48,206,248,0.6117778823443419
study1,insight,49,244,210,0.4911477231387014
study1,insight,50,204,250,0.7848986469311622
study2,rigour,11,315,321,0.9333902065034517
study2,rigour,12,295,341,0.9125318555227873
study2,rigour,13,269,367,0.8715773160851209
study2,rigour,14,331,305,0.84247400369262
study2,rigour,15,295,341,0.9193946050605294
study2,rigour,16,297,339,0.908953522851699
study2,rigour,17,334,302,0.8786952051277505
study2,rigour,18,328,308,0.8706188977787183
study2,rigour,19,281,355,0.9238918690352553
study2,rigour,20,325,311,0.878554089842316
study2,rigour,21,314,322,0.8212872879469524
study2,rigour,22,311,325,0.8934734522017896
study2,rigour,23,305,331,0.7320426998850579
study2,rigour,24,322,314,0.8948710037106473
study2,rigour,25,311,325,0.9216441149520271
study2,rigour,26,335,301,0.8960146971161429
study2,rigour,27,331,305,0.8688879371548598
study2,rigour,28,339,297,0.9127973379542165
study2,rigour,29,294,342,0.9269073136399537
study2,rigour,30,267,369,0.8781709938218539
study2,rigour,31,334,302,0.8217619746097329
study2,rigour,32,298,338,0.916878739837077
study2,rigour,33,298,338,0.8861151374397092
study2,rigour,34,285,351,0.8204239291234975
study2,rigour,35,324,312,0.961948981474739
study2,rigour,36,343,293,0.9520865815524369
study2,rigour,37,306,330,0.8150909872271165
study2,rigour,38,323,313,0.9265639342052933
study2,rigour,39,330,306,0.7836886260013832
study2,rigour,40,360,276,0.9021122261484388
study2,rigour,41,284,352,0.8821465672817229
study2,rigour,42,290,346,0.9060186686473275
study2,rigour,43,336,300,0.8944987820353916
study2,rigour,44,261,375,0.8838576300628298
study2,rigour,45,349,287,0.9131591065689407
study2,rigour,46,334,302,0.8984593070180964
study2,rigour,47,318,318,0.853436010081575
study2,rigour,48,286,350,0.9091067450195112
study2,rigour,49,327,309,0.8557766539936369
study2,rigour,50,293,343,0.8824906908680075
study2,insight,11,221,217,0.35467006687807534
study2,insight,12,211,227,0.6450632239132388
study2,insight,13,178,260,0.546049749655697
study2,insight,14,208,230,0.45325375165144627
study2,insight,15,197,241,0.48027131146884805
study2,insight,16,202,236,0.25401589790539353
study2,insight,17,213,225,0.5338693015223718
study2,insight,18,227,211,0.34266405112573645
study2,insight,19,210,228,0.6706616516061492
study2,insight,20,228,210,0.4415271947739385
study2,insight,21,229,209,0.5857920629600283
study2,insight,22,184,254,0.522319317319044
study2,insight,23,219,219,0.5194907598514772
study2,insight,24,224,214,0.5106216551637246
study2,insight,25,218,220,0.520843920524176
study2,insight,26,194,244,0.20781634893806938
study2,insight,27,169,269,0.4659737646572831
study2,insight,28,220,218,0.2424208831971606
study2,insight,29,193,245,0.46348053828831587
study2,insight,30,212,226,0.5920378279885753
study2,insight,31,217,221,0.4402009447875978
study2,insight,32,218,220,0.4720272649836532
study2,insight,33,206,232,0.552718175158478
study2,insight,34,232,206,0.20371042512170137
study2,insight,35,214,224,0.5040294540216094
study2,insight,36,206,232,0.3078258167745786
study2,insight,37,193,245,0.46963350307600443
study2,insight,38,201,237,0.2800020502409749
study2,insight,39,222,216,0.3695462597549119
study2,insight,40,218,220,0.31071680485611386
study2,insight,41,209,229,0.4794880138603682
study2,insight,42,214,224,0.7398343714350217
study2,insight,43,194,244,0.6109811688646426
study2,insight,44,192,246,0.5761442337957061
