study,dimension,iteration,nc1,nc2,cor
study1,rigour,1,187,208,0.8645385370453477
study1,rigour,2,249,167,0.8773980289561508
study1,rigour,3,222,172,0.8210059068438856
study1,rigour,4,168,237,0.8726284700105748
study1,rigour,5,203,191,0.9317206581514147
study1,rigour,6,179,210,0.9028577906754214
study1,rigour,7,207,194,0.9067574148781565
study1,rigour,8,200,209,0.936171955186016
study1,rigour,9,211,198,0.9438068649616744
study1,rigour,10,195,194,0.8723611673293201
study1,rigour,11,225,166,0.917329593680303
study1,rigour,12,210,192,0.8407078225659842
study1,rigour,13,178,217,0.9133021451872545
study1,rigour,14,200,219,0.9391139491175841
study1,rigour,15,164,226,0.8991858438092108
study1,rigour,16,201,204,0.9084039290094376
study1,rigour,17,191,215,0.8916042819583805
study1,rigour,18,181,212,0.8965325527133806
study1,rigour,19,205,203,0.8792251804033252
study1,rigour,20,201,197,0.8346266007351618
study1,rigour,21,187,216,0.9082033170494758
study1,rigour,22,223,194,0.8980358970251653
study1,rigour,23,180,224,0.9141035979391507
study1,rigour,24,194,195,0.8832366888256804
study1,rigour,25,209,184,0.8776698612353596
study1,rigour,26,198,210,0.9475600030824434
study1,rigour,27,233,172,0.8057359555365619
study1,rigour,28,176,214,0.958057769644183
study1,rigour,29,202,199,0.8588674476394569
study1,rigour,30,216,172,0.8811143474161095
study1,rigour,31,205,198,0.9103575242739314
study1,rigour,32,201,200,0.832135480341687
study1,rigour,33,201,207,0.9302876657596721
study1,rigour,34,223,165,0.8918730513200338
study1,rigour,35,165,236,0.9052679019820818
study1,rigour,36,198,225,0.8618202136433711
study1,rigour,37,199,203,0.9047125893872394
study1,rigour,38,192,196,0.9746845001209403
study1,rigour,39,212,194,0.950961912907394
study1,rigour,40,195,201,0.7543551669764118
study1,rigour,41,193,221,0.9351625255431965
study1,rigour,42,190,204,0.7821028458064847
study1,rigour,43,207,182,0.833825850182066
study1,rigour,44,186,225,0.9728601689916245
study1,rigour,45,173,215,0.9287912998915457
study1,rigour,46,179,236,0.9121842488190545
study1,rigour,47,210,196,0.8869887844606875
study1,rigour,48,169,219,0.9317037394564524
study1,rigour,49,191,213,0.9084454879043217
study1,rigour,50,194,211,0.873841041347741
study1,insight,1,146,208,0.7953167206111104
study1,insight,2,188,172,0.8293679567420278
study1,insight,3,178,137,0.8038525170398507
study1,insight,4,166,179,0.7592388447316042
study1,insight,5,202,161,0.7777418486716368
study1,insight,6,191,174,0.709581178270618
study1,insight,7,131,204,0.3649247596959065
study1,insight,8,183,157,0.7094461778626797
study1,insight,9,161,185,0.5039400071389408
study1,insight,10,187,180,0.7569889632009507
study1,insight,11,173,161,0.5774559669707124
study1,insight,12,168,176,0.7906368330705773
study1,insight,13,144,165,0.6580673328870652
study1,insight,14,173,148,0.615073218092061
study1,insight,15,201,162,0.641734139432081
study1,insight,16,147,189,0.6300060186489144
study1,insight,17,186,176,0.8383019236858771
study1,insight,18,195,133,0.6383806768486106
study1,insight,19,176,198,0.8650644374294227
study1,insight,20,185,174,0.7674728195255124
study1,insight,21,147,195,0.7432388078485618
study1,insight,22,214,139,0.7801504753881574
study1,insight,23,188,150,0.6827894127915174
study1,insight,24,135,182,0.5765836221520315
study1,insight,25,199,164,0.7132366134681384
study1,insight,26,114,207,0.6866252809053899
study1,insight,27,146,219,0.8075986077128051
study1,insight,28,181,174,0.6331613377919812
study1,insight,29,189,178,0.7010888435597931
study1,insight,30,197,143,0.7319801898548326
study1,insight,31,158,182,0.5299502887354683
study1,insight,32,161,183,0.6959893903671575
study1,insight,33,154,170,0.8708470898257565
study1,insight,34,150,230,0.6580733203260235
study1,insight,35,187,154,0.854433850485268
study1,insight,36,171,170,0.6134431360787143
study1,insight,37,167,156,0.7268042941250967
study1,insight,38,159,165,0.698947521508833
study1,insight,39,155,182,0.6496399560531609
study1,insight,40,147,183,0.5496580440459716
study1,insight,41,188,161,0.8081688008151374
study1,insight,42,169,160,0.6277997172653229
study1,insight,43,177,159,0.5242602606223945
study1,insight,44,167,152,0.28263564536762076
study1,insight,45,176,158,0.6902208217280283
study1,insight,46,210,127,0.6266192229558768
study1,insight,47,198,177,0.6782664771625702
study1,insight,48,187,153,0.7619736884633547
study1,insight,49,164,183,0.8070963817863128
study1,insight,50,148,195,0.6201687455833801
study2,rigour,1,204,155,0.8409679196164825
study2,rigour,2,157,179,0.6715587536590417
study2,rigour,3,174,208,0.7555144887407148
study2,rigour,4,191,206,0.7419033557834881
study2,rigour,5,204,150,0.8044626853556532
study2,rigour,6,183,136,0.7118798945129853
study2,rigour,7,179,161,0.8591132700249632
study2,rigour,8,195,157,0.8815790628579947
study2,rigour,9,156,178,0.7297913999095282
study2,rigour,10,167,188,0.8292876135102345
study2,rigour,11,161,164,0.7032236958996798
study2,rigour,12,160,198,0.8095451206037451
study2,rigour,13,186,166,0.7453538688666016
study2,rigour,14,177,174,0.826554789500075
study2,rigour,15,192,189,0.8763082543062307
study2,rigour,16,181,206,0.7437517877012194
study2,rigour,17,184,167,0.7166357507911771
study2,rigour,18,155,202,0.760971603127374
study2,rigour,19,176,167,0.8590669205015056
study2,rigour,20,186,179,0.8645305527780307
study2,rigour,21,186,160,0.7635828896518166
study2,rigour,22,176,165,0.8544624078396107
study2,rigour,23,174,144,0.8167515080802691
study2,rigour,24,185,178,0.772712531920477
study2,rigour,25,178,186,0.8587891753365368
study2,rigour,26,212,164,0.8156493183693688
study2,rigour,27,202,165,0.8039235424865415
study2,rigour,28,198,193,0.7774039686322596
study2,rigour,29,194,179,0.8318544424574403
study2,rigour,30,190,153,0.8257985834571183
study2,rigour,31,183,193,0.7735404069018355
study2,rigour,32,228,174,0.7109130895009341
study2,rigour,33,173,173,0.8787484846321761
study2,rigour,34,194,153,0.7617451694424765
study2,rigour,35,179,149,0.7883777962899601
study2,rigour,36,176,136,0.8033291163530445
study2,rigour,37,169,172,0.5723907665744091
study2,rigour,38,159,196,0.7571919167454648
study2,rigour,39,171,172,0.7893022850787783
study2,rigour,40,155,167,0.9119341281431037
study2,rigour,41,186,174,0.9002391495835077
study2,rigour,42,179,182,0.7966412090043112
study2,rigour,43,199,155,0.8526129263042
study2,rigour,44,221,177,0.8749590980626668
study2,rigour,45,182,190,0.8705244913930382
study2,rigour,46,163,190,0.4742379479170537
study2,rigour,47,191,181,0.8486198829420751
study2,rigour,48,183,194,0.850643830548161
study2,rigour,49,169,201,0.6922636561388347
study2,rigour,50,175,203,0.7704309225375838
study2,insight,1,182,203,0.5370223259741616
study2,insight,2,237,158,0.34256891332990075
study2,insight,3,182,207,0.5403027458914796
study2,insight,4,182,207,0.5836887685197412
study2,insight,5,194,203,0.26056575643464974
study2,insight,6,204,181,0.30515962231675847
study2,insight,7,207,192,0.14533115353837517
study2,insight,8,167,214,0.27609051844501853
study2,insight,9,190,188,0.4671074391271256
study2,insight,10,162,220,0.49879453213219205
study2,insight,11,190,196,0.6540282404667086
study2,insight,12,181,211,0.35254573320685667
study2,insight,13,199,185,0.700755196494423
study2,insight,14,189,183,0.42221925761063883
study2,insight,15,215,186,0.6720479426093918
study2,insight,16,197,188,0.32702923458323885
study2,insight,17,186,208,0.4194406480046709
study2,insight,18,184,225,0.5206051069902073
study2,insight,19,216,172,0.3843615400974723
study2,insight,20,197,213,0.5544405167615937
study2,insight,21,204,187,-0.07704203433295317
study2,insight,22,202,183,0.8072993600740797
study2,insight,23,184,203,0.5692489003160772
study2,insight,24,188,208,0.5614656062428734
study2,insight,25,186,201,0.5301149646884485
study2,insight,26,183,205,0.5177484599590735
study2,insight,27,194,199,0.3196688186972833
study2,insight,28,176,208,0.5202344498196992
study2,insight,29,208,184,0.6034646910821426
study2,insight,30,163,215,0.5934164128013868
study2,insight,31,171,212,0.4317272608903037
study2,insight,32,209,199,0.20397159625712008
study2,insight,33,183,193,0.5277844946702959
study2,insight,34,205,195,0.35926690759003815
study2,insight,35,199,175,0.6493099575434996
study2,insight,36,181,209,0.20398584222362767
study2,insight,37,223,179,0.4356520196932696
study2,insight,38,198,181,0.3659289358639655
study2,insight,39,184,215,0.3487198491398999
study2,insight,40,203,186,0.34489635512847416
study2,insight,41,175,212,0.508969826880237
study2,insight,42,175,214,0.5256835298725432
study2,insight,43,198,193,0.30425252166511957
study2,insight,44,187,183,0.36416939912675955
study2,insight,45,210,189,0.45505142511665475
study2,insight,46,219,173,0.29664287938509604
study2,insight,47,199,196,0.6772831881082713
study2,insight,48,168,218,0.3904402112526385
study2,insight,49,190,212,0.6741283596086443
study2,insight,50,179,212,0.09469268031507126
study2,simple,1,169,179,0.7675799773124343
study2,simple,2,181,209,0.8112750321919843
study2,simple,3,178,163,0.6934575012650905
study2,simple,4,179,171,0.7082335385989594
study2,simple,5,199,175,0.6840391585268919
study2,simple,6,170,195,0.8032216989709446
study2,simple,7,169,180,0.740468326604713
study2,simple,8,190,178,0.57962569242046
study2,simple,9,188,154,0.8675604804059321
study2,simple,10,200,174,0.5642766500141713
study2,simple,11,194,173,0.7412241503781403
study2,simple,12,163,181,0.5840984376146665
study2,simple,13,157,182,0.6380963021448024
study2,simple,14,177,186,0.842509313306868
study2,simple,15,184,205,0.7126558763955672
study2,simple,16,147,223,0.805364433992654
study2,simple,17,169,210,0.496096833857002
study2,simple,18,166,179,0.9157119906554388
study2,simple,19,189,162,0.7582103518290718
study2,simple,20,184,181,0.7414597054834473
study2,simple,21,159,220,0.7748498900322279
study2,simple,22,187,187,0.7638128836922601
study2,simple,23,173,191,0.7621930066859086
study2,simple,24,210,180,0.6369584873614936
study2,simple,25,215,171,0.7632558270532823
study2,simple,26,206,188,0.7296542369426691
study2,simple,27,141,191,0.6911739806609725
study2,simple,28,164,193,0.7798903815959344
study2,simple,29,156,191,0.7384721604598445
study2,simple,30,169,169,0.7539683146114661
study2,simple,31,217,174,0.7080278479089244
study2,simple,32,191,183,0.8282117835361593
study2,simple,33,211,156,0.6639534187183966
study2,simple,34,194,172,0.7215756520250891
study2,simple,35,206,153,0.8189910312011339
study2,simple,36,187,177,0.7490281792645249
study2,simple,37,209,191,0.8662331153458154
study2,simple,38,159,196,0.7515494118167514
study2,simple,39,191,173,0.7415304528330143
study2,simple,40,192,185,0.7766186626785941
study2,simple,41,192,177,0.7318595291486636
study2,simple,42,161,199,0.7429111514972438
study2,simple,43,140,202,0.5536493739347207
study2,simple,44,166,165,0.7998078269948259
study2,simple,45,166,206,0.8507659873650586
study2,simple,46,211,145,0.8526932996503296
study2,simple,47,154,203,0.6474629210818973
study2,simple,48,200,182,0.8467933766469086
study2,simple,49,205,186,0.7633610741091449
study2,simple,50,164,182,0.3885255441245927
study2,understanding,1,173,204,0.2708448048354351
study2,understanding,2,218,195,0.5650278398966899
study2,understanding,3,209,188,0.37136641778756474
study2,understanding,4,224,175,0.6468308416704579
study2,understanding,5,196,195,0.39127677509999265
study2,understanding,6,221,180,0.3006958245461441
study2,understanding,7,208,187,0.392656052875893
study2,understanding,8,179,218,0.5736510184565844
study2,understanding,9,220,205,0.4835054271931516
study2,understanding,10,150,231,0.5652144075962432
study2,understanding,11,185,188,0.5498473789898894
study2,understanding,12,196,203,0.22760168426099492
study2,understanding,13,199,167,0.416789579154833
study2,understanding,14,214,196,0.5628038083980265
study2,understanding,15,172,245,0.7460711832004868
study2,understanding,16,209,207,0.4188164792536974
study2,understanding,17,185,183,0.36399092751716977
study2,understanding,18,210,214,0.7334892636738444
study2,understanding,19,217,163,0.5727659476185466
study2,understanding,20,219,185,0.6232051376590779
study2,understanding,21,215,174,0.7317670707001546
study2,understanding,22,213,182,0.41333614849325173
study2,understanding,23,177,210,0.4645952883609234
study2,understanding,24,168,209,0.3801830890480745
study2,understanding,25,215,169,0.2470321806437448
study2,understanding,26,168,209,0.18186650591988898
study2,understanding,27,180,220,0.4806325799465315
study2,understanding,28,209,179,0.44603654684929767
study2,understanding,29,200,184,0.45220639862684897
study2,understanding,30,216,182,0.4974119105785455
study2,understanding,31,201,189,0.43934409884881803
study2,understanding,32,134,217,0.5349966459396001
study2,understanding,33,200,186,0.5735615963334147
study2,understanding,34,180,179,0.48071217465010907
study2,understanding,35,138,216,0.4268324332131975
study2,understanding,36,168,219,0.13098695208662703
study2,understanding,37,228,159,0.6289751077050776
study2,understanding,38,188,205,0.598130042854601
study2,understanding,39,166,201,0.4106340239007161
study2,understanding,40,200,197,0.6671501974053541
study2,understanding,41,202,175,0.6011004781922562
study2,understanding,42,199,178,0.7264030049952541
study2,understanding,43,197,182,0.7562654190376074
study2,understanding,44,179,177,0.6509917699941947
study2,understanding,45,190,228,0.43209473430725837
study2,understanding,46,211,148,0.5429911077239531
study2,understanding,47,130,212,0.3304777029215209
study2,understanding,48,219,214,0.7608979865655489
study2,understanding,49,180,220,0.4912593186315802
study2,understanding,50,187,181,0.6666185636342458
study2,marks,1,148,217,0.8282764890382264
study2,marks,2,185,172,0.8421590940910005
study2,marks,3,186,186,0.9097870000337263
study2,marks,4,197,175,0.8211848634127569
study2,marks,5,187,187,0.844033117225993
study2,marks,6,187,170,0.8979320793147458
study2,marks,7,206,175,0.851696161342537
study2,marks,8,175,182,0.8268133537150123
study2,marks,9,167,203,0.8218214174105256
study2,marks,10,207,160,0.9308630500958313
study2,marks,11,196,178,0.8179355767208543
study2,marks,12,183,191,0.8756942046048104
study2,marks,13,190,167,0.8986792435561621
study2,marks,14,198,159,0.8094936870242596
study2,marks,15,175,196,0.8778841737295805
study2,marks,16,218,139,0.8051177455580562
study2,marks,17,196,169,0.8823726982109785
study2,marks,18,196,161,0.7909670577586797
study2,marks,19,174,200,0.9111137397643184
study2,marks,20,188,182,0.918899280909101
study2,marks,21,189,185,0.7631421217687681
study2,marks,22,164,212,0.7520208850512882
study2,marks,23,211,170,0.8452409074031706
study2,marks,24,184,173,0.840220859811781
study2,marks,25,204,153,0.7823949908464978
study2,marks,26,203,168,0.8630020146159432
study2,marks,27,209,165,0.8569094178837205
study2,marks,28,209,148,0.9304960633823265
study2,marks,29,159,215,0.8396397671354598
study2,marks,30,195,162,0.8354789881531373
study2,marks,31,184,173,0.8018812660009758
study2,marks,32,180,177,0.9232242697686167
study2,marks,33,198,176,0.8746225400601213
study2,marks,34,176,198,0.8802857099373235
study2,marks,35,174,196,0.8195427923331018
